id;username;password;email
1;Sudan seize;withdrawal Cambridgeshire Progressive;Nils36@hotmail.com
2;Chief optimal;online quantify compressing;Bryana20@gmail.com
3;quantify International generate;Ghana lime Borders;Cleora.Bode@hotmail.com
4;function Savings Account Serbia;West Virginia;Damian_Ratke26@hotmail.com
5;Unbranded Cotton Bacon;Kids;Tianna.Hansen@yahoo.com
6;Hryvnia;transmitting European Monetary Unit (E.M.U.-6);Carli82@hotmail.com
7;Infrastructure;International leading-edge;Amya.Zulauf@hotmail.com
8;Facilitator;Iowa open-source Granite;Greg_West@yahoo.com
9;Future;reboot Programmable Unbranded;Robbie.Doyle@gmail.com
10;Turnpike;productivity PCI Singapore;Dennis70@yahoo.com
